Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,AMZN,AMZN,AMZN,AMZN,AMZN,,,
2023-03-02,2023,3,2,Thursday,09,2023-09,91.41,92.23,90.39,92.13,55509400,-0.00043399062951077205,96.09571428571428,94.256
2023-03-03,2023,3,3,Friday,09,2023-09,92.74,94.94,92.66,94.9,55759600,0.030066258059702422,95.90214285714286,94.45559999999999
2023-03-06,2023,3,6,Monday,10,2023-10,95.19,96.55,93.74,93.75,52112400,-0.012118034851298809,95.48857142857143,94.6268
2023-03-07,2023,3,7,Tuesday,10,2023-10,94.06,95.09,92.78,93.55,49100700,-0.0021333007812499583,95.04928571428572,94.7624
2023-03-08,2023,3,8,Wednesday,10,2023-10,93.6,94.17,92.18,93.92,44899100,0.003955051898638651,94.53214285714286,94.965
2023-03-09,2023,3,9,Thursday,10,2023-10,93.68,96.21,92.18,92.25,56218700,-0.017781071140368643,94.1107142857143,95.105
2023-03-10,2023,3,10,Friday,10,2023-10,92.67,93.57,90.25,90.73,69827500,-0.0164769283801236,93.64857142857144,95.2588
2023-03-13,2023,3,13,Monday,11,2023-11,89.97,94.02,88.12,92.43,72397100,0.01873687738723384,93.49499999999999,95.471
2023-03-14,2023,3,14,Tuesday,11,2023-11,93.83,95.07,92.71,94.88,60912700,0.0265065123894086,93.42999999999999,95.685
2023-03-15,2023,3,15,Wednesday,11,2023-11,93.22,96.67,93.07,96.2,70731800,0.01391230747297123,93.45714285714287,95.929
2023-03-16,2023,3,16,Thursday,11,2023-11,95.75,100.99,95.61,100.04,84446900,0.03991688242309577,93.92428571428572,96.21340000000001
2023-03-17,2023,3,17,Friday,11,2023-11,99.79,100.66,97.46,98.95,87300200,-0.010895681300578386,94.295,96.4896
2023-03-20,2023,3,20,Monday,12,2023-12,98.41,98.48,95.7,97.71,62388900,-0.012531560404374087,94.54357142857143,96.78139999999999
2023-03-21,2023,3,21,Tuesday,12,2023-12,98.14,100.85,98.0,100.61,58597300,0.029679680207260972,95.14642857142857,97.07199999999999
2023-03-22,2023,3,22,Wednesday,12,2023-12,100.45,102.1,98.61,98.7,57475400,-0.018984232685839597,95.61571428571429,97.29880000000001
2023-03-23,2023,3,23,Thursday,12,2023-12,100.43,101.06,97.62,98.71,57559300,0.00010133876939955044,95.88785714285713,97.47560000000001
2023-03-24,2023,3,24,Friday,12,2023-12,98.07,98.3,96.4,98.13,56095400,-0.005875816395847999,96.20071428571428,97.5364
2023-03-27,2023,3,27,Monday,13,2023-13,99.07,99.34,97.08,98.04,46721300,-0.0009171134251457769,96.52142857142857,97.5918
2023-03-28,2023,3,28,Tuesday,13,2023-13,98.11,98.44,96.29,97.24,38720100,-0.00815996577200262,96.75857142857141,97.5742
2023-03-29,2023,3,29,Wednesday,13,2023-13,98.69,100.42,98.56,100.25,49783300,0.0309543624265336,97.33,97.6582
2023-03-30,2023,3,30,Thursday,13,2023-13,101.55,103.04,101.01,102.0,53633400,0.0174563591022443,98.13499999999999,97.789
2023-03-31,2023,3,31,Friday,13,2023-13,102.16,103.49,101.95,103.29,56750300,0.012647067799287592,98.91071428571429,97.9812
2023-04-03,2023,4,3,Monday,14,2023-14,102.3,103.29,101.43,102.41,41135700,-0.008519675143944028,99.44857142857143,98.0844
2023-04-04,2023,4,4,Tuesday,14,2023-14,102.75,104.2,102.11,103.95,48662500,0.015037527888523972,100.00214285714286,98.213
2023-04-05,2023,4,5,Wednesday,14,2023-14,103.91,103.91,100.75,101.1,45175400,-0.027417013542964663,100.07785714285714,98.30860000000001
2023-04-06,2023,4,6,Thursday,14,2023-14,100.75,102.38,99.8,102.06,43808000,0.009495540049077267,100.29999999999998,98.40619999999998
2023-04-10,2023,4,10,Monday,15,2023-15,100.96,102.2,99.57,102.17,37261200,0.0010778033801970288,100.61857142857143,98.46520000000001
2023-04-11,2023,4,11,Tuesday,15,2023-15,100.8,101.0,99.01,99.92,60417800,-0.022022120390757682,100.56928571428571,98.41879999999999
2023-04-12,2023,4,12,Wednesday,15,2023-15,100.4,100.51,97.71,97.83,56735000,-0.020916697119598093,100.50714285714285,98.36439999999999
2023-04-13,2023,4,13,Thursday,15,2023-15,98.95,102.57,98.71,102.4,67925100,0.046713683014299345,100.77071428571428,98.34980000000002
2023-04-14,2023,4,14,Friday,15,2023-15,102.07,103.2,101.11,102.51,51450500,0.001074224694457282,101.08357142857143,98.29699999999998
2023-04-17,2023,4,17,Monday,16,2023-16,103.16,103.73,101.59,102.74,39919500,0.0022436418178335416,101.41928571428572,98.09360000000001
